recordStatus,lastDateModified,lastTimeModified,lastUserToModify,legDepartureDate,airlineCode,identifier,sequence,flightOriginDay,numericFlightDate,numGMTDate,STDudt,STAudt,tailNumber,numLastDateModified,flightStatus,origin,STDLocal,dispatchDesk,STDGMTVariance,destination,STALocal,STAGMTVariance,OAGEquipmentType,ACConfiguration,serviceType,originGate,ETDlocal,ETDudt,TAXIutc,OUTudt,OFFudt,destinationGate,ETAlocal,ETAudt,ONudt,INudt,previousTailNumber,ETE,DCNutc,ETOutc,EONutc,EDTCutc,flightType,newDepartureCity,newArrivalCity,SchedOAGEquipType,OAGEquipSubType,csvFSDailyID,tailNumBeforeCancel,CTAUTC,cancelled,replaced,ATCStatus,scheduledFlightType,aircraftRouting,mealService,hub,landingRestriction,headStartFlight,actualDeparture,specialFlight,actualArrival,scheduledTaxiOut,scheduledTaxiIn,STOSetByUser,STISetByUser,CTFlightNumber
,06DEC17,1912,POST,07DEC17,JBU,   1 ,10,07,20171207,20171207,1549,1849,972   ,20171206,SC05,JFK ,1049,09,-0500,FLL ,1349,-0500,321 ,,,21  ,1049,1549,,,,,1349,1849,,,974 ,,,,,,0,,,321 ,,4534631,,,,0,0,0,> 202 ,,JFK,3,0,2017-12-07 15:49:00.000,0,2017-12-07 18:49:00.000,29,7,0,0,0001
,06DEC17,1120,dunn,07DEC17,JBU,   6 ,10,07,20171207,20171207,1818,2118,652   ,20171206,SC05,FLL ,1318,09,-0500,EWR ,1618,-0500,320 ,,,,1318,1818,,,,18  ,1618,2118,,,593 ,,,,,,0,,,320 ,,4534641,,,,0,0,0,> 227 ,,JFK,3,0,2017-12-07 18:18:00.000,0,2017-12-07 21:18:00.000,17,7,0,0,0006
,05DEC17,1213,PLNK,07DEC17,JBU,   7 ,10,07,20171207,20171208,0010,0539,638   ,20171205,SC05,FLL ,1910,10,-0500,LAS ,2139,-0800,320 ,,,,1910,0010,,,,E09 ,2139,0539,,,565 ,,,,,,0,,,320 ,,4534652,,,,0,0,0,>   8 ,,JFK,3,0,2017-12-08 00:10:00.000,0,2017-12-08 05:39:00.000,17,7,0,0,0007
